央卫频道,#genre#
CCTV15,http://221.197.237.47:1234/673168223
CCTV17,http://221.197.237.47:1234/673168256
CCTV4欧洲,http://221.197.237.47:1234/608807419
CCTV4美洲,http://221.197.237.47:1234/608807416
CGTN,http://221.197.237.47:1234/609017205
CGTN纪录,http://221.197.237.47:1234/609006487
CGTN阿拉伯语,http://221.197.237.47:1234/609154345
CGTN西班牙语,http://221.197.237.47:1234/609006450
CGTN法语,http://221.197.237.47:1234/609006476
CGTN俄语,http://221.197.237.47:1234/609006446
CHC影迷电影,http://221.197.237.47:1234/952383261
CHC动作电影,http://221.197.237.47:1234/644368714
CHC家庭影院,http://221.197.237.47:1234/644368373
东方卫视,http://221.197.237.47:1234/651632648
江苏卫视,http://221.197.237.47:1234/623899368
广东卫视,http://221.197.237.47:1234/608831231
北京卫视,http://221.197.237.47:1234/630287636
辽宁卫视,http://221.197.237.47:1234/630291707
河北卫视,http://221.197.237.47:1234/962042070
江西卫视,http://221.197.237.47:1234/783847495
河南卫视,http://221.197.237.47:1234/790187291
陕西卫视,http://221.197.237.47:1234/738910838
大湾区卫视,http://221.197.237.47:1234/608917627
湖北卫视,http://221.197.237.47:1234/947472496
吉林卫视,http://221.197.237.47:1234/947472500
青海卫视,http://221.197.237.47:1234/947472506
东南卫视,http://221.197.237.47:1234/849116810
海南卫视,http://221.197.237.47:1234/947472502
海峡卫视,http://221.197.237.47:1234/849119120
中国农林卫视,http://221.197.237.47:1234/956904896
兵团卫视,http://221.197.237.47:1234/956923145
宁夏卫视,http://221.197.237.47:1234/738910535
重庆卫视,http://221.197.237.47:1234/738910914
三沙卫视,http://221.197.237.47:1234/961023778

CCTV1,http://tv.sohu.blog/d/mg.php?id=608807420
CCTV2,http://tv.sohu.blog/d/mg.php?id=631780532
CCTV3,http://tv.sohu.blog/d/mg.php?id=624878271
CCTV4,http://tv.sohu.blog/d/mg.php?id=631780421
CCTV5,http://tv.sohu.blog/d/mg.php?id=641886683
CCTV5+,http://tv.sohu.blog/d/mg.php?id=641886773
CCTV6,http://tv.sohu.blog/d/mg.php?id=624878396
CCTV7,http://tv.sohu.blog/d/mg.php?id=673168121
CCTV8,http://tv.sohu.blog/d/mg.php?id=624878356
CCTV9,http://tv.sohu.blog/d/mg.php?id=673168140
CCTV10,http://tv.sohu.blog/d/mg.php?id=624878405
CCTV11,http://tv.sohu.blog/d/mg.php?id=667987558
CCTV12,http://tv.sohu.blog/d/mg.php?id=673168185
CCTV13,http://tv.sohu.blog/d/mg.php?id=608807423
CCTV14,http://tv.sohu.blog/d/mg.php?id=624878440
CCTV15,http://tv.sohu.blog/d/mg.php?id=673168223
CCTV17,http://tv.sohu.blog/d/mg.php?id=673168256
CCTV4欧洲,http://tv.sohu.blog/d/mg.php?id=608807419
CCTV4美洲,http://tv.sohu.blog/d/mg.php?id=608807416
CGTN,http://tv.sohu.blog/d/mg.php?id=609017205
CGTN纪录,http://tv.sohu.blog/d/mg.php?id=609006487
CGTN阿拉伯语,http://tv.sohu.blog/d/mg.php?id=609154345
CGTN西班牙语,http://tv.sohu.blog/d/mg.php?id=609006450
CGTN法语,http://tv.sohu.blog/d/mg.php?id=609006476
CGTN俄语,http://tv.sohu.blog/d/mg.php?id=609006446
CHC影迷电影,http://tv.sohu.blog/d/mg.php?id=952383261
CHC动作电影,http://tv.sohu.blog/d/mg.php?id=644368714
CHC家庭影院,http://tv.sohu.blog/d/mg.php?id=644368373
东方卫视,http://tv.sohu.blog/d/mg.php?id=651632648
江苏卫视,http://tv.sohu.blog/d/mg.php?id=623899368
北京卫视,http://tv.sohu.blog/d/mg.php?id=630287636
辽宁卫视,http://tv.sohu.blog/d/mg.php?id=630291707
河北卫视,http://tv.sohu.blog/d/mg.php?id=962042070
江西卫视,http://tv.sohu.blog/d/mg.php?id=783847495
河南卫视,http://tv.sohu.blog/d/mg.php?id=790187291
陕西卫视,http://tv.sohu.blog/d/mg.php?id=738910838
大湾区卫视,http://tv.sohu.blog/d/mg.php?id=608917627
湖北卫视,http://tv.sohu.blog/d/mg.php?id=947472496
吉林卫视,http://tv.sohu.blog/d/mg.php?id=947472500
青海卫视,http://tv.sohu.blog/d/mg.php?id=947472506
东南卫视,http://tv.sohu.blog/d/mg.php?id=849116810
海南卫视,http://tv.sohu.blog/d/mg.php?id=947472502
海峡卫视,http://tv.sohu.blog/d/mg.php?id=849119120
中国农林卫视,http://tv.sohu.blog/d/mg.php?id=956904896
兵团卫视,http://tv.sohu.blog/d/mg.php?id=956923145
宁夏卫视,http://tv.sohu.blog/d/mg.php?id=738910535
重庆卫视,http://tv.sohu.blog/d/mg.php?id=738910914
三沙卫视,http://tv.sohu.blog/d/mg.php?id=961023778

CCTV1,http://43.251.226.89:8080/play/1.m3u8
CCTV2,http://43.251.226.89:8080/play/2.m3u8
CCTV3,http://43.251.226.89:8080/play/3.m3u8
CCTV4,http://43.251.226.89:8080/play/4.m3u8
CCTV5,http://43.251.226.89:8080/play/5.m3u8
CCTV5+,http://43.251.226.89:8080/play/6.m3u8
CCTV6,http://43.251.226.89:8080/play/7.m3u8
CCTV7,http://43.251.226.89:8080/play/8.m3u8
CCTV8,http://43.251.226.89:8080/play/9.m3u8
CCTV9,http://43.251.226.89:8080/play/10.m3u8
CCTV10,http://43.251.226.89:8080/play/11.m3u8
CCTV11,http://43.251.226.89:8080/play/12.m3u8
CCTV12,http://43.251.226.89:8080/play/13.m3u8
CCTV13,http://43.251.226.89:8080/play/14.m3u8
CCTV14,http://43.251.226.89:8080/play/15.m3u8
CCTV15,http://43.251.226.89:8080/play/16.m3u8
CCTV17,http://43.251.226.89:8080/play/17.m3u8
CCTV4欧洲,http://43.251.226.89:8080/play/18.m3u8
CCTV4美洲,http://43.251.226.89:8080/play/19.m3u8
CGTN纪录,http://43.251.226.89:8080/play/20.m3u8
CGTN阿拉伯语,http://43.251.226.89:8080/play/21.m3u8
CGTN西班牙语,http://43.251.226.89:8080/play/22.m3u8
CGTN法语,http://43.251.226.89:8080/play/23.m3u8
CGTN俄语,http://43.251.226.89:8080/play/24.m3u8
CGTN,http://43.251.226.89:8080/play/25.m3u8
CHC影迷电影,http://43.251.226.89:8080/play/92.m3u8
CHC动作电影,http://43.251.226.89:8080/play/93.m3u8
CHC家庭影院,http://43.251.226.89:8080/play/94.m3u8
东方卫视,http://43.251.226.89:8080/play/33.m3u8
江苏卫视,http://43.251.226.89:8080/play/34.m3u8
广东卫视,http://43.251.226.89:8080/play/35.m3u8
北京卫视,http://43.251.226.89:8080/play/36.m3u8
辽宁卫视,http://43.251.226.89:8080/play/37.m3u8
河北卫视,http://43.251.226.89:8080/play/38.m3u8
江西卫视,http://43.251.226.89:8080/play/39.m3u8
河南卫视,http://43.251.226.89:8080/play/40.m3u8
陕西卫视,http://43.251.226.89:8080/play/41.m3u8
大湾区卫视,http://43.251.226.89:8080/play/42.m3u8
湖北卫视,http://43.251.226.89:8080/play/43.m3u8
吉林卫视,http://43.251.226.89:8080/play/44.m3u8
青海卫视,http://43.251.226.89:8080/play/45.m3u8
东南卫视,http://43.251.226.89:8080/play/46.m3u8
海南卫视,http://43.251.226.89:8080/play/47.m3u8
海峡卫视,http://43.251.226.89:8080/play/48.m3u8
中国农林卫视,http://43.251.226.89:8080/play/49.m3u8
兵团卫视,http://43.251.226.89:8080/play/50.m3u8
宁夏卫视,http://43.251.226.89:8080/play/51.m3u8
重庆卫视,http://43.251.226.89:8080/play/52.m3u8
三沙卫视,http://43.251.226.89:8080/play/53.m3u8

CCTV1,http://43.251.226.89:8080/play/97.m3u8
CCTV2,http://43.251.226.89:8080/play/98.m3u8
CCTV3,http://43.251.226.89:8080/play/99.m3u8
CCTV4,http://43.251.226.89:8080/play/100.m3u8
CCTV5,http://43.251.226.89:8080/play/101.m3u8
CCTV5+,http://43.251.226.89:8080/play/102.m3u8
CCTV6,http://43.251.226.89:8080/play/103.m3u8
CCTV7,http://43.251.226.89:8080/play/104.m3u8
CCTV8,http://43.251.226.89:8080/play/105.m3u8
CCTV9,http://43.251.226.89:8080/play/106.m3u8
CCTV10,http://43.251.226.89:8080/play/107.m3u8
CCTV11,http://43.251.226.89:8080/play/108.m3u8
CCTV12,http://43.251.226.89:8080/play/109.m3u8
CCTV13,http://43.251.226.89:8080/play/110.m3u8
CCTV14,http://43.251.226.89:8080/play/111.m3u8
CCTV15,http://43.251.226.89:8080/play/112.m3u8
CCTV17,http://43.251.226.89:8080/play/113.m3u8
CCTV4欧洲,http://43.251.226.89:8080/play/114.m3u8
CCTV4美洲,http://43.251.226.89:8080/play/115.m3u8
CGTN纪录,http://43.251.226.89:8080/play/116.m3u8
CGTN阿拉伯语,http://43.251.226.89:8080/play/117.m3u8
CGTN西班牙语,http://43.251.226.89:8080/play/118.m3u8
CGTN法语,http://43.251.226.89:8080/play/119.m3u8
CGTN俄语,http://43.251.226.89:8080/play/120.m3u8
CGTN,http://43.251.226.89:8080/play/121.m3u8
CHC影迷电影,http://43.251.226.89:8080/play/188.m3u8
CHC动作电影,http://43.251.226.89:8080/play/189.m3u8
CHC家庭影院,http://43.251.226.89:8080/play/190.m3u8
东方卫视,http://43.251.226.89:8080/play/129.m3u8
江苏卫视,http://43.251.226.89:8080/play/130.m3u8
广东卫视,http://43.251.226.89:8080/play/131.m3u8
北京卫视,http://43.251.226.89:8080/play/132.m3u8
辽宁卫视,http://43.251.226.89:8080/play/133.m3u8
河北卫视,http://43.251.226.89:8080/play/134.m3u8
江西卫视,http://43.251.226.89:8080/play/135.m3u8
河南卫视,http://43.251.226.89:8080/play/136.m3u8
陕西卫视,http://43.251.226.89:8080/play/137.m3u8
大湾区卫视,http://43.251.226.89:8080/play/138.m3u8
湖北卫视,http://43.251.226.89:8080/play/139.m3u8
吉林卫视,http://43.251.226.89:8080/play/140.m3u8
青海卫视,http://43.251.226.89:8080/play/141.m3u8
东南卫视,http://43.251.226.89:8080/play/142.m3u8
海南卫视,http://43.251.226.89:8080/play/143.m3u8
海峡卫视,http://43.251.226.89:8080/play/144.m3u8
中国农林卫视,http://43.251.226.89:8080/play/145.m3u8
兵团卫视,http://43.251.226.89:8080/play/146.m3u8
宁夏卫视,http://43.251.226.89:8080/play/147.m3u8
重庆卫视,http://43.251.226.89:8080/play/148.m3u8
三沙卫视,http://43.251.226.89:8080/play/149.m3u8

CCTV1,http://43.251.226.89:8080/play/193.m3u8
CCTV2,http://43.251.226.89:8080/play/194.m3u8
CCTV3,http://43.251.226.89:8080/play/195.m3u8
CCTV4,http://43.251.226.89:8080/play/196.m3u8
CCTV5,http://43.251.226.89:8080/play/197.m3u8
CCTV5+,http://43.251.226.89:8080/play/198.m3u8
CCTV6,http://43.251.226.89:8080/play/199.m3u8
CCTV7,http://43.251.226.89:8080/play/200.m3u8
CCTV8,http://43.251.226.89:8080/play/201.m3u8
CCTV9,http://43.251.226.89:8080/play/202.m3u8
CCTV10,http://43.251.226.89:8080/play/203.m3u8
CCTV11,http://43.251.226.89:8080/play/204.m3u8
CCTV12,http://43.251.226.89:8080/play/205.m3u8
CCTV13,http://43.251.226.89:8080/play/206.m3u8
CCTV14,http://43.251.226.89:8080/play/207.m3u8
CCTV15,http://43.251.226.89:8080/play/208.m3u8
CCTV17,http://43.251.226.89:8080/play/209.m3u8
CCTV4欧洲,http://43.251.226.89:8080/play/210.m3u8
CCTV4美洲,http://43.251.226.89:8080/play/211.m3u8
CGTN,http://43.251.226.89:8080/play/220.m3u8
CGTN纪录,http://43.251.226.89:8080/play/212.m3u8
CGTN阿拉伯语,http://43.251.226.89:8080/play/213.m3u8
CGTN西班牙语,http://43.251.226.89:8080/play/214.m3u8
CGTN法语,http://43.251.226.89:8080/play/215.m3u8
CGTN俄语,http://43.251.226.89:8080/play/216.m3u8
CHC影迷电影,http://43.251.226.89:8080/play/287.m3u8
CHC动作电影,http://43.251.226.89:8080/play/288.m3u8
CHC家庭影院,http://43.251.226.89:8080/play/289.m3u8
东方卫视,http://43.251.226.89:8080/play/228.m3u8
江苏卫视,http://43.251.226.89:8080/play/229.m3u8
广东卫视,http://43.251.226.89:8080/play/230.m3u8
大湾区卫视,http://43.251.226.89:8080/play/231.m3u8
北京卫视,http://43.251.226.89:8080/play/232.m3u8
辽宁卫视,http://43.251.226.89:8080/play/233.m3u8
河北卫视,http://43.251.226.89:8080/play/234.m3u8
江西卫视,http://43.251.226.89:8080/play/235.m3u8
河南卫视,http://43.251.226.89:8080/play/236.m3u8
陕西卫视,http://43.251.226.89:8080/play/237.m3u8
湖北卫视,http://43.251.226.89:8080/play/238.m3u8
吉林卫视,http://43.251.226.89:8080/play/239.m3u8
青海卫视,http://43.251.226.89:8080/play/240.m3u8
东南卫视,http://43.251.226.89:8080/play/241.m3u8
海南卫视,http://43.251.226.89:8080/play/242.m3u8
海峡卫视,http://43.251.226.89:8080/play/243.m3u8
中国农林卫视,http://43.251.226.89:8080/play/244.m3u8
兵团卫视,http://43.251.226.89:8080/play/245.m3u8
宁夏卫视,http://43.251.226.89:8080/play/246.m3u8
重庆卫视,http://43.251.226.89:8080/play/247.m3u8
三沙卫视,http://43.251.226.89:8080/play/248.m3u8

CCTV1,http://43.251.226.89:8080/play/971.m3u8
CCTV2,http://43.251.226.89:8080/play/972.m3u8
CCTV3,http://43.251.226.89:8080/play/973.m3u8
CCTV4,http://43.251.226.89:8080/play/974.m3u8
CCTV5,http://43.251.226.89:8080/play/975.m3u8
CCTV5+,http://43.251.226.89:8080/play/976.m3u8
CCTV6,http://43.251.226.89:8080/play/977.m3u8
CCTV7,http://43.251.226.89:8080/play/978.m3u8
CCTV8,http://43.251.226.89:8080/play/979.m3u8
CCTV9,http://43.251.226.89:8080/play/980.m3u8
CCTV10,http://43.251.226.89:8080/play/981.m3u8
CCTV11,http://43.251.226.89:8080/play/982.m3u8
CCTV12,http://43.251.226.89:8080/play/983.m3u8
CCTV13,http://43.251.226.89:8080/play/984.m3u8
CCTV14,http://43.251.226.89:8080/play/985.m3u8
CCTV15,http://43.251.226.89:8080/play/986.m3u8
CCTV17,http://43.251.226.89:8080/play/987.m3u8
CCTV4欧洲,http://43.251.226.89:8080/play/988.m3u8
CCTV4美洲,http://43.251.226.89:8080/play/989.m3u8
CGTN,http://43.251.226.89:8080/play/998.m3u8
CGTN纪录,http://43.251.226.89:8080/play/990.m3u8
CGTN阿拉伯语,http://43.251.226.89:8080/play/991.m3u8
CGTN西班牙语,http://43.251.226.89:8080/play/992.m3u8
CGTN法语,http://43.251.226.89:8080/play/993.m3u8
CGTN俄语,http://43.251.226.89:8080/play/994.m3u8
CHC影迷电影,http://43.251.226.89:8080/play/1065.m3u8
CHC动作电影,http://43.251.226.89:8080/play/1066.m3u8
CHC家庭影院,http://43.251.226.89:8080/play/1067.m3u8
东方卫视,http://43.251.226.89:8080/play/1006.m3u8
江苏卫视,http://43.251.226.89:8080/play/1007.m3u8
广东卫视,http://43.251.226.89:8080/play/1008.m3u8
大湾区卫视,http://43.251.226.89:8080/play/1009.m3u8
北京卫视,http://43.251.226.89:8080/play/1010.m3u8
辽宁卫视,http://43.251.226.89:8080/play/1011.m3u8
河北卫视,http://43.251.226.89:8080/play/1012.m3u8
江西卫视,http://43.251.226.89:8080/play/1013.m3u8
河南卫视,http://43.251.226.89:8080/play/1014.m3u8
陕西卫视,http://43.251.226.89:8080/play/1015.m3u8
湖北卫视,http://43.251.226.89:8080/play/1016.m3u8
吉林卫视,http://43.251.226.89:8080/play/1017.m3u8
青海卫视,http://43.251.226.89:8080/play/1018.m3u8
东南卫视,http://43.251.226.89:8080/play/1019.m3u8
海南卫视,http://43.251.226.89:8080/play/1020.m3u8
海峡卫视,http://43.251.226.89:8080/play/1021.m3u8
中国农林卫视,http://43.251.226.89:8080/play/1022.m3u8
兵团卫视,http://43.251.226.89:8080/play/1023.m3u8
宁夏卫视,http://43.251.226.89:8080/play/1024.m3u8
重庆卫视,http://43.251.226.89:8080/play/1025.m3u8
三沙卫视,http://43.251.226.89:8080/play/1026.m3u8

CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws

CCTV1,http://tvlist.top/jd/index.php?id=cctv1&qt=183.224.122.114:8014
CCTV2,http://tvlist.top/jd/index.php?id=cctv2&qt=183.224.122.114:8014
CCTV3,http://tvlist.top/jd/index.php?id=cctv3&qt=183.224.122.114:8014
CCTV4,http://tvlist.top/jd/index.php?id=cctv4&qt=183.224.122.114:8014
CCTV5,http://tvlist.top/jd/index.php?id=cctv5&qt=183.224.122.114:8014
CCTV6,http://tvlist.top/jd/index.php?id=cctv6&qt=183.224.122.114:8014
CCTV7,http://tvlist.top/jd/index.php?id=cctv7&qt=183.224.122.114:8014
CCTV8,http://tvlist.top/jd/index.php?id=cctv8&qt=183.224.122.114:8014
CCTV9,http://tvlist.top/jd/index.php?id=cctv9&qt=183.224.122.114:8014
CCTV10,http://tvlist.top/jd/index.php?id=cctv10&qt=183.224.122.114:8014
CCTV11,http://tvlist.top/jd/index.php?id=cctv11&qt=183.224.122.114:8014
CCTV12,http://tvlist.top/jd/index.php?id=cctv12&qt=183.224.122.114:8014
CCTV13,http://tvlist.top/jd/index.php?id=cctv13&qt=183.224.122.114:8014
CCTV14,http://tvlist.top/jd/index.php?id=cctv14&qt=183.224.122.114:8014
CCTV15,http://tvlist.top/jd/index.php?id=cctv15&qt=183.224.122.114:8014
CCTV16,http://tvlist.top/jd/index.php?id=cctv16&qt=183.224.122.114:8014
CCTV5+,http://tvlist.top/jd/index.php?id=cctv5p&qt=183.224.122.114:8014
安徽卫视,http://tvlist.top/jd/index.php?id=ahws&qt=183.224.122.114:8014
北京卫视,http://tvlist.top/jd/index.php?id=bjws&qt=183.224.122.114:8014
重庆卫视,http://tvlist.top/jd/index.php?id=cqws&qt=183.224.122.114:8014
东方卫视,http://tvlist.top/jd/index.php?id=dfws&qt=183.224.122.114:8014
东南卫视,http://tvlist.top/jd/index.php?id=dnws&qt=183.224.122.114:8014
甘肃卫视,http://tvlist.top/jd/index.php?id=gsws&qt=183.224.122.114:8014
广西卫视,http://tvlist.top/jd/index.php?id=gxws&qt=183.224.122.114:8014
贵州卫视,http://tvlist.top/jd/index.php?id=gzws&qt=183.224.122.114:8014
河北卫视,http://tvlist.top/jd/index.php?id=hebeiws&qt=183.224.122.114:8014
河南卫视,http://tvlist.top/jd/index.php?id=hnws&qt=183.224.122.114:8014
黑龙江卫视,http://tvlist.top/jd/index.php?id=hljws&qt=183.224.122.114:8014
湖北卫视,http://tvlist.top/jd/index.php?id=hbws&qt=183.224.122.114:8014
湖南卫视,http://tvlist.top/jd/index.php?id=hunanws&qt=183.224.122.114:8014
吉林卫视,http://tvlist.top/jd/index.php?id=jlws&qt=183.224.122.114:8014
江苏卫视,http://tvlist.top/jd/index.php?id=jsws&qt=183.224.122.114:8014
江西卫视,http://tvlist.top/jd/index.php?id=jxws&qt=183.224.122.114:8014
康巴卫视,http://tvlist.top/jd/index.php?id=live4468&qt=183.224.122.114:8014
辽宁卫视,http://tvlist.top/jd/index.php?id=lnws&qt=183.224.122.114:8014
内蒙古卫视,http://tvlist.top/jd/index.php?id=neimenggu&qt=183.224.122.114:8014
宁夏卫视,http://tvlist.top/jd/index.php?id=linxws&qt=183.224.122.114:8014
农林卫视,http://tvlist.top/jd/index.php?id=live3843&qt=183.224.122.114:8014
青海卫视,http://tvlist.top/jd/index.php?id=qhws&qt=183.224.122.114:8014
厦门卫视,http://tvlist.top/jd/index.php?id=xmws&qt=183.224.122.114:8014
